id;score clasificación;clase real
1;0.006951326927075252;NO
2;0.1884926586732092;NO
3;0.0006543624161073827;NO
4;0.029224128687371266;NO
5;0.9397092113724044;SI
6;0.18301672089630297;NO
7;0.8957638901558422;SI
8;0.0;NO
9;0.31065527581517405;NO
10;0.19217406693887157;NO
11;0.08005572900970806;NO
12;0.0;NO
13;0.008337612323491657;NO
14;0.01300462249614792;NO
15;0.0;NO
16;0.0;NO
17;0.05383166497707292;NO
18;0.06445652049488051;NO
19;0.9138213172461345;SI
20;0.0036245353159851308;NO
21;0.14643650078574877;NO
22;0.8231622512411758;SI
23;0.870542189660827;SI
24;0.19084143489152425;NO
25;0.9752831543458081;SI
26;0.987815448216184;SI
27;0.9138213172461345;SI
28;0.007504816955684009;NO
29;0.11294502459609883;NO
30;0.31173591405293627;NO
31;0.13331665153008362;NO
32;0.17927542518714024;NO
33;0.0;NO
34;0.019524723688589783;NO
35;0.005;NO
36;0.1988004711961247;NO
37;0.0;NO
38;0.8411013421126435;SI
39;0.04358748379195689;NO
40;0.008961443972436327;NO
41;0.09553989384477803;NO
42;0.08394304253972694;NO
43;0.0067515091514598665;NO
44;0.1613284724752347;NO
45;0.8542382134459723;SI
46;0.0;NO
47;0.8639570786163279;SI
48;0.06341144331143407;NO
49;0.9733726836868047;SI
50;0.95173697028584;SI
51;0.002147577092511013;NO
52;0.005;NO
53;0.11437710437710438;NO
54;0.007147577092511014;NO
55;0.03216960757815174;NO
56;0.10640790336720375;NO
57;0.02650283641115598;NO
58;0.024367002002447537;NO
59;0.01675150915145987;NO
60;0.9097726978412619;SI
61;0.039166088063683074;NO
62;0.33707568910667685;NO
63;0.9166724334405784;SI
64;0.03223043635664022;NO
65;0.9894041992555106;SI
66;0.020758269349899248;NO
67;0.07005308961887678;NO
68;0.029529222573714913;NO
69;0.9455030117359093;SI
70;0.008753609239653513;NO
71;0.13821724190214166;NO
72;0.5827016519126029;NO
73;0.010836012861736334;NO
74;0.976986264328731;SI
75;0.8118683735464782;SI
76;0.10316745759745397;NO
77;0.8531376839489923;SI
78;0.9312415728244661;SI
79;0.2507762363772687;NO
80;0.2311049528569216;NO
81;0.009144070908308067;NO
82;0.0639872435997852;NO
83;0.8714815473492936;SI
84;0.03310342021380776;NO
85;0.0;NO
86;0.8030167262973184;SI
87;0.0033359524918812108;NO
88;0.01;NO
89;0.0059404388714733546;NO
90;0.02;NO
91;0.2292717347049509;NO
